,town,0
0,ANG MO KIO,7922
1,BEDOK,10547
2,BISHAN,3058
3,BUKIT BATOK,6683
4,BUKIT MERAH,6428
5,BUKIT PANJANG,7212
6,BUKIT TIMAH,348
7,CENTRAL AREA,1150
8,CHOA CHU KANG,8782
9,CLEMENTI,4162
10,GEYLANG,4688
11,HOUGANG,9296
12,JURONG EAST,3975
13,JURONG WEST,12946
14,KALLANG/WHAMPOA,5273
15,MARINE PARADE,1103
16,PASIR RIS,5815
17,PUNGGOL,12827
18,QUEENSTOWN,4586
19,SEMBAWANG,4856
20,SENGKANG,15441
21,SERANGOON,3514
22,TAMPINES,12775
23,TOA PAYOH,5415
24,WOODLANDS,12694
25,YISHUN,12514
