,mean
413,5515.360655737705
414,3700.7449664429532
415,3988.469387755102
416,4951.6125
417,4571.535714285715
418,5773.2
419,4294.709677419355
420,6503.076923076923
421,4107.1125
422,6159.333333333333
423,7787.333333333333
424,3557.5151515151515
425,5090.941176470588
426,5025.780487804878
427,4128.259615384615
428,4498.764705882353
429,3999.9466666666667
430,6036.857142857143
431,6345.3
432,3904.5
433,4560.555555555556
434,6612.448979591837
435,3793.1403508771928
436,4372.0298507462685
437,4909.916666666667
438,4459.869918699187
439,5383.611111111111
440,3696.887323943662
441,3970.627450980392
442,4826.4111111111115
443,4641.692307692308
444,5552.76
445,4238.828125
446,6194.967741935484
447,3931.0
448,6136.0
449,7048.785714285715
450,3521.722222222222
451,5095.518518518518
452,5105.484375
453,4132.990099009901
454,4411.6875
455,3966.1567164179105
456,6092.754716981132
457,6079.75
458,3907.6296296296296
459,4518.134831460674
460,6658.185185185185
461,3911.5238095238096
462,4360.779411764706
463,4834.2444444444445
464,4461.846666666666
465,5405.2
466,3704.0158730158732
467,4101.371134020618
468,4743.831168831169
469,4550.119565217391
470,5471.653846153846
471,4238.306666666666
472,6245.323529411765
473,4030.1454545454544
474,6677.0
475,7614.75
476,3618.2586206896553
477,5430.7692307692305
478,5223.510204081633
479,4344.451219512195
480,4509.375
481,4059.0857142857144
482,5989.186440677966
483,6408.333333333333
484,3925.921568627451
485,4492.338235294118
486,6686.45652173913
487,3899.7377049180327
488,4404.434782608696
489,4853.217391304348
490,4353.669902912621
491,5456.0
492,3738.0434782608695
493,4071.5052631578947
494,4954.166666666667
495,4575.976
496,5568.891891891892
497,4177.623188405797
498,6233.491803278688
499,4024.359375
500,6402.428571428572
501,8121.285714285715
502,3531.5840707964603
503,5514.046511627907
504,5042.827586206897
505,4117.306306306306
506,4532.976744186047
507,4028.3825503355706
508,5831.10294117647
509,6098.416666666667
510,3930.0338983050847
511,4540.768421052631
512,6321.907407407408
513,3807.5283018867926
514,4326.687943262411
515,4961.866666666667
516,4492.636363636364
517,5200.923076923077
518,3612.3545454545456
519,4039.6
520,4992.111111111111
521,4662.674603174603
522,5884.633333333333
523,4210.4177215189875
524,6314.741935483871
525,3890.4920634920636
526,6708.333333333333
527,8098.0625
528,3527.8030303030305
529,5050.468085106383
530,4791.6875
531,4159.614457831325
532,4616.512195121952
533,4023.752
534,5861.724137931034
535,6561.0
536,3941.883333333333
537,4537.215384615384
538,6571.930232558139
539,3742.55
540,4470.285714285715
541,4579.441860465116
542,4496.171171171171
543,5314.041666666667
544,3670.0877192982457
545,3948.811111111111
546,5104.903225806452
547,4682.745614035088
548,6302.272727272727
549,4153.171875
550,6340.821428571428
551,3988.4126984126983
552,6553.0
553,6512.631578947368
554,3527.4883720930234
555,5233.152173913043
556,5155.384615384615
557,4187.109756097561
558,4416.8378378378375
559,4038.6046511627906
560,5660.403508771929
561,6243.666666666667
562,3861.810810810811
563,4527.03125
564,6688.03125
565,3807.027027027027
566,4297.046875
567,4965.171428571429
568,4418.409523809524
569,4999.018867924528
570,3640.422018348624
571,3962.5555555555557
572,4951.478260869565
573,4713.568181818182
574,6210.710526315789
575,4142.492753623188
576,6500.066666666667
577,3790.551724137931
578,6805.25
579,8137.277777777777
580,3460.1830985915494
581,5418.175
582,5295.766666666666
583,4149.307692307692
584,4360.325581395349
585,4082.698275862069
586,5737.74
587,6271.0
588,3944.056603773585
589,4661.6547619047615
590,6226.113636363636
591,3839.641025641026
592,4292.963636363636
593,5313.521739130435
594,4437.699115044248
595,5302.608695652174
596,3683.8196721311474
597,3993.896907216495
598,5068.0625
599,4730.451612903225
600,6024.5161290322585
601,4101.618181818182
602,6358.19298245614
603,3946.2549019607845
604,6359.8
605,7780.64705882353
606,3485.4307692307693
607,5385.92
608,5127.324324324324
609,4076.4477611940297
610,4363.935483870968
611,4034.836956521739
612,5369.604166666667
613,6023.222222222223
614,3731.722222222222
615,4647.87012987013
616,6778.958333333333
617,3716.785714285714
618,4276.633663366337
619,4847.103448275862
620,4514.908045977011
621,5372.090909090909
622,3636.301886792453
623,4030.1875
624,4900.839285714285
625,4656.228571428572
626,5966.227272727273
627,4224.382978723404
628,6226.285714285715
629,3842.866666666667
630,6621.333333333333
631,7351.833333333333
632,3537.590909090909
633,5102.571428571428
634,4950.1875
635,4130.621212121212
636,4319.75
637,4012.3125
638,5694.1621621621625
639,5960.75
640,3852.5789473684213
641,4604.298245614035
642,6060.571428571428
643,3757.0
644,4307.049382716049
645,4728.5
646,4434.0
647,5390.272727272727
648,3633.7710843373493
649,3997.5285714285715
650,4996.707317073171
651,4675.239436619719
652,6221.057142857143
653,4050.785714285714
654,6409.179487179487
655,3937.25
656,6181.6
657,7167.090909090909
658,3462.1521739130435
659,5203.416666666667
660,5075.1612903225805
661,4204.106060606061
662,4376.413793103448
663,3982.25
664,5587.159090909091
665,6368.8
666,3818.2
667,4601.771929824561
668,6668.705882352941
669,3715.5
670,4346.518072289156
671,4712.8387096774195
672,4391.4
