,month,town,resale_price
2286,2017-03-01,ANG MO KIO,398000
2287,2017-03-01,ANG MO KIO,400000
2288,2017-03-01,ANG MO KIO,415000
2289,2017-03-01,ANG MO KIO,428000
2290,2017-03-01,ANG MO KIO,430000
2291,2017-03-01,ANG MO KIO,430000
2292,2017-03-01,ANG MO KIO,431888
2293,2017-03-01,ANG MO KIO,438000
2294,2017-03-01,ANG MO KIO,440000
2295,2017-03-01,ANG MO KIO,455000
2296,2017-03-01,ANG MO KIO,470000
2297,2017-03-01,ANG MO KIO,475000
2298,2017-03-01,ANG MO KIO,480000
2299,2017-03-01,ANG MO KIO,480000
2300,2017-03-01,ANG MO KIO,485000
2301,2017-03-01,ANG MO KIO,490000
2302,2017-03-01,ANG MO KIO,538000
2303,2017-03-01,ANG MO KIO,548000
2304,2017-03-01,ANG MO KIO,590000
2305,2017-03-01,ANG MO KIO,600000
2306,2017-03-01,ANG MO KIO,615000
2307,2017-03-01,ANG MO KIO,630000
2308,2017-03-01,ANG MO KIO,690000
2309,2017-03-01,ANG MO KIO,470000
2310,2017-03-01,ANG MO KIO,585000
2311,2017-03-01,ANG MO KIO,610000
2312,2017-03-01,ANG MO KIO,630000
2313,2017-03-01,ANG MO KIO,637000
2314,2017-03-01,ANG MO KIO,643800
2315,2017-03-01,ANG MO KIO,655000
2316,2017-03-01,ANG MO KIO,688000
2317,2017-03-01,ANG MO KIO,756800
2318,2017-03-01,ANG MO KIO,768000
2319,2017-03-01,ANG MO KIO,800000
2320,2017-03-01,ANG MO KIO,838000
2321,2017-03-01,ANG MO KIO,844000
2322,2017-03-01,ANG MO KIO,850000
2323,2017-03-01,ANG MO KIO,820000
4092,2017-04-01,ANG MO KIO,205000
4093,2017-04-01,ANG MO KIO,210000
4094,2017-04-01,ANG MO KIO,239000
4095,2017-04-01,ANG MO KIO,250000
4096,2017-04-01,ANG MO KIO,260000
4097,2017-04-01,ANG MO KIO,270000
4098,2017-04-01,ANG MO KIO,282000
4099,2017-04-01,ANG MO KIO,283000
4100,2017-04-01,ANG MO KIO,285000
4101,2017-04-01,ANG MO KIO,285000
4102,2017-04-01,ANG MO KIO,290000
4103,2017-04-01,ANG MO KIO,293000
4104,2017-04-01,ANG MO KIO,295000
4105,2017-04-01,ANG MO KIO,296000
4106,2017-04-01,ANG MO KIO,298000
4107,2017-04-01,ANG MO KIO,300000
4108,2017-04-01,ANG MO KIO,300000
4109,2017-04-01,ANG MO KIO,300000
4110,2017-04-01,ANG MO KIO,300000
4111,2017-04-01,ANG MO KIO,303000
4112,2017-04-01,ANG MO KIO,303000
4113,2017-04-01,ANG MO KIO,305000
4114,2017-04-01,ANG MO KIO,308888
4115,2017-04-01,ANG MO KIO,310000
4116,2017-04-01,ANG MO KIO,310000
4117,2017-04-01,ANG MO KIO,310000
4118,2017-04-01,ANG MO KIO,315000
4119,2017-04-01,ANG MO KIO,315000
4120,2017-04-01,ANG MO KIO,318000
4121,2017-04-01,ANG MO KIO,320000
4122,2017-04-01,ANG MO KIO,322000
4123,2017-04-01,ANG MO KIO,322000
4124,2017-04-01,ANG MO KIO,323000
4125,2017-04-01,ANG MO KIO,325000
4126,2017-04-01,ANG MO KIO,325000
4127,2017-04-01,ANG MO KIO,328000
4128,2017-04-01,ANG MO KIO,340000
4129,2017-04-01,ANG MO KIO,340000
4130,2017-04-01,ANG MO KIO,360000
4131,2017-04-01,ANG MO KIO,370000
4132,2017-04-01,ANG MO KIO,370000
4133,2017-04-01,ANG MO KIO,380000
4134,2017-04-01,ANG MO KIO,400000
4135,2017-04-01,ANG MO KIO,401000
4136,2017-04-01,ANG MO KIO,402000
4137,2017-04-01,ANG MO KIO,420888
4138,2017-04-01,ANG MO KIO,390000
4139,2017-04-01,ANG MO KIO,400000
4140,2017-04-01,ANG MO KIO,400000
4141,2017-04-01,ANG MO KIO,403888
4142,2017-04-01,ANG MO KIO,406000
4143,2017-04-01,ANG MO KIO,412000
4144,2017-04-01,ANG MO KIO,417000
4145,2017-04-01,ANG MO KIO,420000
4146,2017-04-01,ANG MO KIO,425000
4147,2017-04-01,ANG MO KIO,428000
4148,2017-04-01,ANG MO KIO,428000
4149,2017-04-01,ANG MO KIO,430000
4150,2017-04-01,ANG MO KIO,440000
4151,2017-04-01,ANG MO KIO,450000
4152,2017-04-01,ANG MO KIO,450000
4153,2017-04-01,ANG MO KIO,470000
